Points_0,Points_1
0.0,0.0
1.0,0.0958851077208406
2.0,0.33658839392315865
3.0,0.5984969919624328
4.0,0.7274379414605454
5.0,0.5984721441039564
6.0,0.16934400967184068
7.0,-0.49109651876546784
8.0,-1.2108839924926853
9.0,-1.7595542117971747
10.0,-1.917848549326277
11.0,-1.5521887162548624
12.0,-0.6705971956774222
13.0,0.5593119690283204
14.0,1.8395624764126095
15.0,2.8139999303242167
16.0,3.165946389194822
17.0,2.714856182919867
18.0,1.4836265468703238
19.0,-0.2855742577548754
20.0,-2.176084443557479
21.0,-3.6947221918810143
22.0,-4.399956908823095
23.0,-4.0270800035667715
24.0,-2.575550006402088
25.0,-0.33160948675600344
26.0,2.1848685914985326
27.0,4.340435903378753
28.0,5.547401191891274
29.0,5.422391322043162
