Points_0,Points_1,Points_2
0.0,0.0,0.0
1.0,0.0958851077208406,0.0
2.0,0.33658839392315865,0.0
3.0,0.5984969919624328,0.0
4.0,0.7274379414605454,0.0
5.0,0.5984721441039564,0.0
6.0,0.16934400967184068,0.0
7.0,-0.49109651876546784,0.0
8.0,-1.2108839924926853,0.0
9.0,-1.7595542117971747,0.0
10.0,-1.917848549326277,0.0
11.0,-1.5521887162548624,0.0
12.0,-0.6705971956774222,0.0
13.0,0.5593119690283204,0.0
14.0,1.8395624764126095,0.0
15.0,2.8139999303242167,0.0
16.0,3.165946389194822,0.0
17.0,2.714856182919867,0.0
18.0,1.4836265468703238,0.0
19.0,-0.2855742577548754,0.0
20.0,-2.176084443557479,0.0
21.0,-3.6947221918810143,0.0
22.0,-4.399956908823095,0.0
23.0,-4.0270800035667715,0.0
24.0,-2.575550006402088,0.0
25.0,-0.33160948675600344,0.0
26.0,2.1848685914985326,0.0
27.0,4.340435903378753,0.0
28.0,5.547401191891274,0.0
29.0,5.422391322043162,0.0
