Points_0,Points_1,Points_2
-2.0,5.0,0.0
-1.3606942286976613,5.774907791070756,0.0
-0.8237903734386594,6.65221749818485,0.0
-0.301880937976744,7.54452162509603,0.0
0.3140508234470558,8.342803426045325,0.0
1.1123501944855776,8.958717617379898,0.0
2.122896389527007,9.362384984711564,0.0
3.297005146942001,9.602489789669665,0.0
4.513078531814199,9.800629967170561,0.0
5.608153745706062,10.119768315651795,0.0
6.4271915263828685,10.714944097348083,0.0
6.8757377599970795,11.680611426106967,0.0
6.959465198746759,13.011097549730383,0.0
6.796894869326394,14.587881441523844,0.0
6.5987278351239915,16.20026203809934,0.0
6.616803284807487,17.596400150788938,0.0
7.075046338312038,18.552370659657484,0.0
8.101122063282444,18.940508497060172,0.0
9.678839669317469,18.777004453398245,0.0
11.636960336735191,18.233097348353617,0.0
13.680859690204999,17.603411557256905,0.0
15.46180552139699,17.236679288438012,0.0
16.667588553261456,17.445109818946634,0.0
17.111031546193402,18.415880388387784,0.0
16.791751623289116,20.14937387366517,0.0
15.91215284645465,22.443186212872728,0.0
14.839840913800124,24.929711707900353,0.0
14.022731431452108,27.16103475262146,0.0
13.876384872474674,28.721594873971988,0.0
14.671886980346073,29.340306328473687,0.0
-2.0,5.0,0.0
-1.3606942286976613,5.774907791070756,0.0
-0.8237903734386594,6.65221749818485,0.0
-0.301880937976744,7.54452162509603,0.0
0.3140508234470558,8.342803426045325,0.0
1.1123501944855776,8.958717617379898,0.0
2.122896389527007,9.362384984711564,0.0
3.297005146942001,9.602489789669665,0.0
4.513078531814199,9.800629967170561,0.0
5.608153745706062,10.119768315651795,0.0
6.4271915263828685,10.714944097348083,0.0
6.8757377599970795,11.680611426106967,0.0
6.959465198746759,13.011097549730383,0.0
6.796894869326394,14.587881441523844,0.0
6.5987278351239915,16.20026203809934,0.0
6.616803284807487,17.596400150788938,0.0
7.075046338312038,18.552370659657484,0.0
8.101122063282444,18.940508497060172,0.0
9.678839669317469,18.777004453398245,0.0
11.636960336735191,18.233097348353617,0.0
13.680859690204999,17.603411557256905,0.0
15.46180552139699,17.236679288438012,0.0
16.667588553261456,17.445109818946634,0.0
17.111031546193402,18.415880388387784,0.0
16.791751623289116,20.14937387366517,0.0
15.91215284645465,22.443186212872728,0.0
14.839840913800124,24.929711707900353,0.0
14.022731431452108,27.16103475262146,0.0
13.876384872474674,28.721594873971988,0.0
14.671886980346073,29.340306328473687,0.0
